Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
BiSb(Se0.92Br0.08)3,300.0,-110.0,27766.0,0.63,0.0003359686,0.1599850476190476,10.1002/adfm.201806558
BiSb(Se0.92Br0.08)3,400.0,-138.0,23883.0,0.57,0.000454827852,0.31917744,10.1002/adfm.201806558
BiSb(Se0.92Br0.08)3,500.0,-163.0,20850.0,0.53,0.00055396365,0.522607216981132,10.1002/adfm.201806558
BiSb(Se0.92Br0.08)3,600.0,-181.0,19000.0,0.51,0.000622459,0.7323047058823529,10.1002/adfm.201806558
BiSb(Se0.92Br0.08)3,700.0,-193.0,17925.0,0.5,0.0006676883249999999,0.94,10.1002/adfm.201806558
BiSb(Se0.92Br0.08)3,800.0,-203.0,17340.0,0.44,0.00071456406,1.299207381818182,10.1002/adfm.201806558
BiSb(Se0.94Br0.06)3,300.0,-112.0,26117.0,0.64,0.000327611648,0.15356796,10.1002/adfm.201806558
BiSb(Se0.94Br0.06)3,400.0,-141.0,22500.0,0.57,0.0004473225,0.3139105263157895,10.1002/adfm.201806558
BiSb(Se0.94Br0.06)3,500.0,-169.0,19362.0,0.53,0.000552998082,0.5216963037735849,10.1002/adfm.201806558
BiSb(Se0.94Br0.06)3,600.0,-186.0,17500.0,0.51,0.00060543,0.7122705882352941,10.1002/adfm.201806558
BiSb(Se0.94Br0.06)3,700.0,-203.0,16277.0,0.5,0.0006707588929999999,0.9390624502,10.1002/adfm.201806558
BiSb(Se0.94Br0.06)3,800.0,-219.0,15479.0,0.44,0.000742388319,1.3497969436363635,10.1002/adfm.201806558
BiSb(Se0.96Br0.04)3,300.0,-100.0,21000.0,0.65,0.00021,0.12,10.1002/adfm.201806558
BiSb(Se0.96Br0.04)3,400.0,-141.0,19000.0,0.59,0.000377739,0.28,10.1002/adfm.201806558
BiSb(Se0.96Br0.04)3,500.0,-169.0,16436.0,0.55,0.000469428596,0.42675326909090905,10.1002/adfm.201806558
BiSb(Se0.96Br0.04)3,600.0,-192.0,14630.0,0.53,0.00053932032,0.63,10.1002/adfm.201806558
BiSb(Se0.96Br0.04)3,700.0,-213.0,13298.0,0.5,0.000603316962,0.8446437468,10.1002/adfm.201806558
BiSb(Se0.96Br0.04)3,800.0,-228.0,12500.0,0.45,0.0006498,1.1552,10.1002/adfm.201806558
BiSb(Se0.98Br0.02)3,300.0,-109.0,21915.0,0.68,0.000260372115,0.12,10.1002/adfm.201806558
BiSb(Se0.98Br0.02)3,400.0,-147.0,19362.0,0.61,0.000418393458,0.27435636590163937,10.1002/adfm.201806558
BiSb(Se0.98Br0.02)3,500.0,-173.0,16702.0,0.58,0.000499874158,0.42,10.1002/adfm.201806558
BiSb(Se0.98Br0.02)3,600.0,-190.0,15000.0,0.56,0.0005415,0.5801785714285714,10.1002/adfm.201806558
BiSb(Se0.98Br0.02)3,700.0,-208.0,13776.0,0.53,0.000596004864,0.7871762354716981,10.1002/adfm.201806558
